feature,feature,type,p_value,relevant
"F_x__fft_coefficient__coeff_30__attr_""abs""","F_x__fft_coefficient__coeff_30__attr_""abs""",real,3.4082585716744914e-49,True
"F_x__fft_coefficient__coeff_66__attr_""abs""","F_x__fft_coefficient__coeff_66__attr_""abs""",real,4.0487208712278304e-49,True
"F_x__fft_coefficient__coeff_76__attr_""abs""","F_x__fft_coefficient__coeff_76__attr_""abs""",real,3.520737397253249e-48,True
"F_x__fft_coefficient__coeff_91__attr_""abs""","F_x__fft_coefficient__coeff_91__attr_""abs""",real,4.116428563295499e-48,True
"F_x__fft_coefficient__coeff_93__attr_""abs""","F_x__fft_coefficient__coeff_93__attr_""abs""",real,4.5875236398668373e-48,True
"F_x__fft_coefficient__coeff_68__attr_""abs""","F_x__fft_coefficient__coeff_68__attr_""abs""",real,1.6160699548156357e-47,True
"F_x__fft_coefficient__coeff_81__attr_""abs""","F_x__fft_coefficient__coeff_81__attr_""abs""",real,1.4179599088396793e-46,True
"F_x__fft_coefficient__coeff_85__attr_""abs""","F_x__fft_coefficient__coeff_85__attr_""abs""",real,4.093172812532609e-46,True
"F_x__fft_coefficient__coeff_56__attr_""abs""","F_x__fft_coefficient__coeff_56__attr_""abs""",real,6.919634282316738e-46,True
"F_x__fft_coefficient__coeff_78__attr_""abs""","F_x__fft_coefficient__coeff_78__attr_""abs""",real,3.760646924583389e-45,True
"F_x__fft_coefficient__coeff_92__attr_""abs""","F_x__fft_coefficient__coeff_92__attr_""abs""",real,1.9736156598503582e-44,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",real,2.8441909991747603e-44,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",real,2.444090905599979e-43,True
"F_x__fft_coefficient__coeff_94__attr_""abs""","F_x__fft_coefficient__coeff_94__attr_""abs""",real,1.294419177395502e-41,True
"F_x__fft_coefficient__coeff_75__attr_""abs""","F_x__fft_coefficient__coeff_75__attr_""abs""",real,1.3304104497570427e-41,True
"F_x__fft_coefficient__coeff_98__attr_""abs""","F_x__fft_coefficient__coeff_98__attr_""abs""",real,5.100748753331029e-41,True
F_x__approximate_entropy__m_2__r_0.7,F_x__approximate_entropy__m_2__r_0.7,real,8.445891900503862e-41,True
"F_x__fft_coefficient__coeff_99__attr_""abs""","F_x__fft_coefficient__coeff_99__attr_""abs""",real,3.118884988547817e-40,True
"F_x__fft_coefficient__coeff_88__attr_""abs""","F_x__fft_coefficient__coeff_88__attr_""abs""",real,6.963467088915003e-39,True
F_x__number_crossing_m__m_1,F_x__number_crossing_m__m_1,real,1.4907312610190008e-37,True
"F_x__fft_coefficient__coeff_72__attr_""abs""","F_x__fft_coefficient__coeff_72__attr_""abs""",real,4.199941155454416e-37,True
"F_x__fft_coefficient__coeff_87__attr_""abs""","F_x__fft_coefficient__coeff_87__attr_""abs""",real,6.309768074998157e-37,True
"F_x__fft_coefficient__coeff_95__attr_""abs""","F_x__fft_coefficient__coeff_95__attr_""abs""",real,7.968566966879335e-37,True
"F_x__fft_coefficient__coeff_80__attr_""abs""","F_x__fft_coefficient__coeff_80__attr_""abs""",real,2.847480736432153e-35,True
F_x__approximate_entropy__m_2__r_0.9,F_x__approximate_entropy__m_2__r_0.9,real,4.0908725820444096e-35,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",real,4.653693691778989e-35,True
F_x__range_count__max_1__min_-1,F_x__range_count__max_1__min_-1,real,9.914592782155654e-35,True
"F_x__fft_coefficient__coeff_96__attr_""abs""","F_x__fft_coefficient__coeff_96__attr_""abs""",real,1.0769639417671512e-34,True
F_x__ar_coefficient__k_10__coeff_2,F_x__ar_coefficient__k_10__coeff_2,real,2.614104123899993e-34,True
F_x__autocorrelation__lag_1,F_x__autocorrelation__lag_1,real,2.1942879199209965e-33,True
F_x__partial_autocorrelation__lag_1,F_x__partial_autocorrelation__lag_1,real,2.1942879199209965e-33,True
F_x__cid_ce__normalize_True,F_x__cid_ce__normalize_True,real,3.1726288861231764e-33,True
F_x__cid_ce__normalize_False,F_x__cid_ce__normalize_False,real,1.0238852776787896e-32,True
"F_x__fft_coefficient__coeff_60__attr_""abs""","F_x__fft_coefficient__coeff_60__attr_""abs""",real,3.1897341337956885e-30,True
